afdc_ra,badenglh,emp,expstat,fdst_ra,ged,kids,kidsud4,longafdc,married,minor02,minor03,minor04,neveradc,neverful,neverwrk,nodegree,single,numinhh,schlhgst,agesq,pre12ern,pre12wrk,bifid,age,caltime,site,treated
1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,10,9,552,2000,0,103239,24,18,6,1
0,0,0,0,0,0,,,0,1,0,1,0,1,0,1,0,0,6,12,1560,,0,103240,40,18,6,0
1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,6,10,552,,,103244,24,19,6,0
1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,2,9,756,680,0,103245,28,19,6,0
1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,2,9,702,206,0,103257,27,18,6,1
1,0,0,1,1,0,1,0,1,,0,1,0,0,0,1,1,,6,8,756,,0,103281,28,17,6,0
1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,4,11,1056,8000,1,103303,33,18,6,0
0,0,1,1,0,0,,,1,0,1,0,0,0,0,0,1,1,2,11,992,4000,0,103305,32,18,6,0
1,0,0,1,1,0,,,1,0,0,1,0,0,0,1,1,0,3,8,1722,,0,103315,42,18,6,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,3,11,756,3000,0,103328,28,18,6,0
0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,15,1482,12300,1,103330,39,18,6,1
1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,7,9,552,0,0,103337,24,18,6,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,6,12,756,,0,103346,28,18,6,0
1,0,0,0,1,0,,,1,0,0,1,0,0,0,0,1,1,4,8,930,3000,0,103364,31,18,6,0
1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,2,11,552,,0,103369,24,19,6,1
1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,3,8,552,300,0,103371,24,18,6,0
1,0,1,1,0,0,,,1,0,1,0,0,0,0,1,0,1,3,12,552,,0,103387,24,18,6,1
1,0,0,1,1,,1,0,0,0,1,0,0,0,0,0,1,1,2,12,930,0,0,103407,31,19,6,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,4,11,650,0,0,103408,26,19,6,0
,0,0,0,,0,1,0,1,0,1,0,0,0,0,0,1,1,5,10,1122,1600,0,103413,34,19,6,0
1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,6,14,930,0,0,103415,31,19,6,0
1,0,0,1,1,0,,,1,0,1,0,0,0,0,0,1,1,2,10,870,2400,0,103418,30,19,6,0
,1,0,1,,0,,,0,0,0,1,0,0,0,1,0,0,2,12,2162,,0,103419,47,19,6,0
1,0,0,0,0,0,,,1,0,1,0,0,0,0,0,0,1,5,12,812,0,0,103424,29,19,6,1
0,1,0,0,0,0,,,0,0,0,1,0,1,0,0,1,1,6,11,870,1720,0,103439,30,19,6,0
0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,4,11,600,400,0,103440,25,18,6,1
,1,0,1,0,0,,,1,0,0,1,0,0,0,1,,0,2,12,1190,,0,103443,35,18,6,1
0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,12,1722,0,0,103450,42,18,6,0
,0,1,1,0,0,,,1,0,1,0,0,0,0,0,0,1,3,12,1056,2640,0,103451,33,18,6,1
1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,2,10,600,,0,103471,25,19,6,0
0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,12,1190,3000,0,103476,35,19,6,1
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,12,1806,0,0,103480,43,19,6,0
1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,3,12,756,4000,1,103492,28,19,6,1
0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,12,552,4000,1,103500,24,19,6,1
1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,2,12,756,0,0,103504,28,18,6,0
1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,3,12,1056,,0,103509,33,22,6,1
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,5,10,552,800,0,103516,24,21,6,0
1,0,1,1,1,,1,1,1,,1,0,0,0,0,0,1,,,12,600,600,0,103531,25,21,6,1
0,0,1,1,1,,0,0,0,0,1,0,0,1,0,0,1,0,1,12,2756,,,103532,53,22,6,0
,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,3,11,1806,0,0,103534,43,19,6,0
0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,5,15,1406,4500,1,103535,38,22,6,0
0,0,1,0,0,,0,0,0,0,0,1,0,1,0,0,1,0,1,12,2352,5000,1,103550,49,19,6,0
1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,3,12,1122,2000,0,103551,34,19,6,1
,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,3,11,756,4095,1,103552,28,19,6,0
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,12,1722,9000,1,103556,42,19,6,1
1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,3,11,1056,0,0,103558,33,19,6,0
1,0,0,1,1,0,,,1,0,1,0,0,0,0,1,0,1,4,13,870,,0,103567,30,19,6,0
0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,11,2756,4000,1,103568,53,19,6,1
,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,3,9,650,,0,103572,26,19,6,0
0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,11,552,6953,1,103576,24,19,6,0
1,0,1,1,1,0,,,0,0,0,1,0,0,0,0,1,1,4,11,600,5600,1,103587,25,19,6,0
,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,5,12,552,,0,103595,24,19,6,0
1,0,1,1,1,,1,1,1,0,1,0,0,0,0,1,1,1,3,12,552,,0,103599,24,19,6,1
0,0,0,1,0,,0,0,0,0,1,0,0,1,0,0,1,1,3,12,650,2500,0,103601,26,19,6,0
0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,4,10,870,800,0,103602,30,19,6,0
0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,11,1722,,0,103604,42,20,6,0
0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,12,3080,3673,1,103611,56,20,6,0
0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,3,12,1332,6500,1,103612,37,19,6,0
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,10,870,5350,1,103615,30,20,6,0
1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,7,14,600,1500,1,103623,25,20,6,0
0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,2,11,552,11174,1,103628,24,20,6,0
1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,,1,5,10,812,,0,103646,29,21,6,1
1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,12,552,0,0,103663,24,20,6,0
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,,1,4,8,1806,3500,1,103670,43,20,6,0
1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,3,11,2162,,,103684,47,21,6,0
1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,3,11,992,2000,0,103691,32,20,6,1
1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,3,12,930,0,,103697,31,22,6,0
,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,2,12,812,,,103706,29,21,6,1
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,3,11,552,,0,103713,24,22,6,1
1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,12,930,11386,1,103719,31,21,6,1
1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,8,8,1056,0,0,103724,33,20,6,0
1,0,0,0,1,0,1,0,1,,1,0,0,0,0,0,0,,4,14,1332,3740,1,103726,37,20,6,0
,1,1,1,,0,1,0,1,0,0,1,0,0,0,0,0,0,3,14,1640,2100,0,103728,41,21,6,0
1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,4,10,650,,0,103790,26,24,6,1
0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,11,650,5442,1,103791,26,23,6,1
0,0,1,1,0,0,1,1,0,,0,0,1,1,0,0,1,,5,10,930,7560,1,103793,31,24,6,1
1,0,0,1,1,0,1,1,1,,0,0,0,0,0,1,1,,5,9,1122,,0,103806,34,24,6,0
0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,13,650,4800,1,103810,26,25,6,0
1,0,0,0,1,0,,,1,0,1,0,0,0,0,1,0,1,3,12,650,,0,103811,26,26,6,0
0,0,0,1,0,0,,,0,1,0,0,0,1,0,0,0,0,4,14,930,,,103812,31,23,6,0
1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,12,1806,,,103813,43,28,6,0
1,0,0,0,1,0,1,1,,0,1,0,0,0,0,0,0,1,3,12,812,0,0,103819,29,25,6,0
1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,13,11,1056,,0,103829,33,26,6,1
1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,2,12,870,,,103832,30,23,6,0
1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,2,10,650,,0,103840,26,28,6,1
1,0,0,0,1,0,,,1,0,1,0,0,0,0,1,1,1,4,8,1122,,0,103855,34,28,6,1
1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,,1,4,11,1122,,0,103861,34,29,6,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,,11,552,,0,103882,24,27,6,0
1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,4,12,552,10400,1,103893,24,27,6,1
,,1,0,,,,,,,0,1,0,,1,0,,,,,650,,,103896,26,27,6,1
1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,3,12,1260,,0,103900,36,26,6,1
,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,3,12,600,2682,0,103904,25,29,6,0
0,0,1,1,0,1,1,0,0,,1,0,0,1,0,0,,,3,12,992,,0,103919,32,22,6,0
1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,3,12,1190,,,103921,35,22,6,0
1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,4,13,650,2000,0,103923,26,22,6,0
0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,3,12,756,6000,1,103925,28,22,6,1
1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,2,13,600,,,103930,25,22,6,1
1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,5,9,1482,,0,103933,39,22,6,1
0,1,0,1,,,1,0,0,,0,1,0,1,0,0,1,,4,12,1332,16848,1,103965,37,21,6,1
1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,3,10,650,,0,103983,26,22,6,0
1,0,0,1,1,,1,0,1,0,1,0,0,0,0,0,,0,4,12,992,,,103988,32,23,6,1
1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,6,8,1122,,0,103990,34,23,6,1
,,1,0,,,,,,,1,0,0,,1,0,,,,,702,,,104007,27,27,6,0
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,12,1332,9000,1,104009,37,24,6,0
1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,2,12,702,800,0,104012,27,24,6,0
0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,2,10,1332,7900,1,104022,37,22,6,0
1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,,1,4,,1190,,0,104027,35,22,6,0
0,0,0,1,0,0,1,0,0,,1,0,0,1,0,0,1,,5,11,1122,13624,1,104033,34,25,6,1
,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,4,10,870,,,104036,30,26,6,1
,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,,11,756,2000,0,104053,28,21,5,0
1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,5,12,870,,0,104054,30,21,5,0
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,12,930,960,0,104111,31,26,5,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,13,1056,0,0,104113,33,26,5,1
0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,5,12,1806,2304,0,104166,43,18,5,1
1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,14,552,3500,1,104170,24,18,5,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,12,650,,,104175,26,18,5,0
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,12,1122,1300,0,104233,34,22,5,0
0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5,15,1640,5606,0,104300,41,19,5,1
1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,,0,3,12,1332,0,0,104319,37,20,5,0
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,3,10,650,2344,1,104327,26,21,5,1
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,11,3080,1400,0,104333,56,20,5,1
,0,1,1,1,0,,,1,,1,0,0,0,0,0,0,,3,12,1056,1200,1,104348,33,21,5,1
1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,4,11,756,600,1,104350,28,21,5,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5,14,650,530,,104361,26,20,5,0
0,0,1,0,1,0,,,0,1,0,0,0,1,0,0,1,0,6,11,870,7000,1,104388,30,19,5,0
0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,13,650,,1,104396,26,21,5,1
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,5,10,756,218,0,104401,28,19,5,1
,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,4,12,600,7000,1,104404,25,19,5,0
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,5,10,600,3000,,104688,25,17,5,0
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,1640,4000,0,104698,41,17,5,0
0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,,9,10,870,950,0,104705,30,19,5,0
,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4,9,1332,,0,104715,37,20,5,0
0,0,1,0,0,,1,1,0,0,0,0,0,0,0,0,,0,3,12,600,2400,0,105004,25,18,5,0
0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,2,12,702,6584,1,105014,27,18,5,0
0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,2,10,702,3033,,105031,27,20,5,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,9,13,1806,3000,0,105061,43,18,8,1
1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,5,9,812,0,0,105070,29,18,8,1
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,10,1640,5700,1,105138,41,19,5,0
0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,12,1482,4500,1,105145,39,19,5,1
,0,1,1,1,0,1,0,,0,1,0,0,0,0,0,0,0,4,12,1332,8000,1,105156,37,19,5,1
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2,12,756,,0,105218,28,19,5,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,8,870,,,105225,30,20,5,0
1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3,12,1056,299,0,105334,33,18,5,1
0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,3,10,1332,,0,105335,37,19,5,0
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,12,600,3000,0,105721,25,19,5,1
1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,4,9,1260,0,0,105774,36,18,5,1
